title,url
Longest Straight Line Paths on Water or Land on the Earth (2018),https://arxiv.org/abs/1804.07389
Arbitrary code execution in QubesOS via copy-to-VM error reporting backchannel,https://www.qubes-os.org/news/2026/08/29/qsb-118/
Spark: Sparklines in your shell,https://git.zx2c4.com/spark/about/
Brits would quite like their private messages to stay private,https://www.theregister.com/security/2026/08/30/turns-out-brits-would-quite-like-their-private-messages-to-stay-private/5292994
Everyone Should Build Their Own Network Stack,https://blog.lyc8503.net/en/post/dn42-2-dnet/
RISC-V is now officially supported by CPython,https://blog.python.org/2026/08/riscv-now-officially-supported/
Xcena and Samsung's Near Memory Compute CXL Device,https://chipsandcheese.com/p/hot-chips-2026-xcena-and-samsungs
Hy4 preview,https://www.tencent.com/tencent-releases-and-open-sources-tencent-hy4-preview/
FreeCORE TrueNAS Core – Continued,https://freecore.org/
"JupyterGIS 0.16: a grammar of graphics for maps, and collaborative story maps",https://blog.jupyter.org/jupytergis-0-16-new-visualization-capabilities-collaborative-story-maps-and-more-03e6b78bacc0
California lawmakers unanimously pass Linux exemption from age-verification law,https://www.tomshardware.com/software/linux/california-lawmakers-unanimously-pass-linux-exemption-from-age-verification-law-software-distributed-under-the-gpl-mit-bsd-and-apache-licenses-are-exempt
Bug Blindness,https://danluu.com/bug-blind/
The Einstein-Szilard Refrigerator (2020),https://invention.si.edu/invention-stories/einstein-szilard-refrigerator
"Tether: iMessage, SMS, etc. on Linux",https://zackbartel.com/blog/2026/08/tether/
Benjamin Franklin's Alter Egos Gave Him the Most Freedom,https://www.smithsonianmag.com/history/among-all-great-things-benjamin-franklin-invented-discovered-alter-egos-gave-him-most-freedom-180988824/
Nancy Grace Roman Space Telescope,https://science.nasa.gov/mission/roman-space-telescope/
Benchmarking Pocket-Scale Inference,https://artificialanalysis.ai/hardware-inference-stack/mobile-phones
Fair Work Commission condemns 'plain wrong' AI legal advice,https://www.abc.net.au/news/2026-08-29/fair-work-commission-condemns-ai-legal-advice/107089766
"Creating Teensy ELF Executables for Linux (Or, ""Size Is Everything"") (1999)",https://www.muppetlabs.com/~breadbox/software/tiny/teensy.html
Orbs,https://ampcode.com/notes/orbs-explained
